DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
18-Feb-2022,EQ,"1,498.30","1,517.00","1,490.45","1,506.50","1,511.00","1,512.35","1,505.99","1,725.00","1,353.00",3898064,"5,87,04,62,943.20",135186
17-Feb-2022,EQ,"1,513.10","1,522.00","1,502.00","1,515.75","1,504.45","1,506.50","1,511.79","1,725.00","1,353.00",3675604,"5,55,67,43,520.45",124317
16-Feb-2022,EQ,"1,534.35","1,534.75","1,507.00","1,517.80","1,512.50","1,515.75","1,521.07","1,725.00","1,353.00",5016132,"7,62,98,65,425.35",142489
15-Feb-2022,EQ,"1,476.00","1,524.90","1,473.05","1,473.70","1,519.45","1,517.80","1,499.93","1,725.00","1,353.00",6567533,"9,85,08,25,873.15",213639
14-Feb-2022,EQ,"1,490.00","1,499.45","1,469.30","1,518.85","1,472.00","1,473.70","1,479.38","1,725.00","1,353.00",7328310,"10,84,13,72,315.75",228169
11-Feb-2022,EQ,"1,500.25","1,525.00","1,499.50","1,525.10","1,516.00","1,518.85","1,514.35","1,725.00","1,353.00",5355552,"8,11,01,62,062.90",143617
10-Feb-2022,EQ,"1,514.00","1,535.50","1,501.65","1,497.60","1,523.60","1,525.10","1,523.34","1,725.00","1,353.00",7157265,"10,90,29,40,455.85",213562
09-Feb-2022,EQ,"1,474.00","1,499.70","1,467.00","1,461.85","1,498.40","1,497.60","1,487.26","1,725.00","1,353.00",5654171,"8,40,92,11,754.95",152404
08-Feb-2022,EQ,"1,476.40","1,478.45","1,444.55","1,468.15","1,458.00","1,461.85","1,459.69","1,725.00","1,353.00",6990565,"10,20,40,65,680.95",217552
07-Feb-2022,EQ,"1,512.10","1,519.00","1,460.00","1,524.00","1,471.05","1,468.15","1,478.57","1,725.00","1,353.00",6134021,"9,06,95,79,092.75",263901
04-Feb-2022,EQ,"1,528.40","1,532.85","1,514.10","1,515.35","1,521.10","1,524.00","1,523.56","1,725.00","1,353.00",5789979,"8,82,13,62,879.95",168452
03-Feb-2022,EQ,"1,528.75","1,539.95","1,509.00","1,531.20","1,510.40","1,515.35","1,527.81","1,725.00","1,353.00",5282381,"8,07,04,75,923.25",280078
02-Feb-2022,EQ,"1,511.95","1,535.00","1,505.60","1,497.00","1,535.00","1,531.20","1,526.26","1,725.00","1,353.00",6984645,"10,66,03,87,041.25",182857
01-Feb-2022,EQ,"1,508.50","1,517.00","1,473.45","1,485.70","1,500.00","1,497.00","1,500.43","1,725.00","1,353.00",7369742,"11,05,77,83,148.00",209907
31-Jan-2022,EQ,"1,472.75","1,491.55","1,466.80","1,463.25","1,484.55","1,485.70","1,479.18","1,725.00","1,353.00",6421273,"9,49,82,16,296.10",178623
28-Jan-2022,EQ,"1,477.50","1,486.70","1,460.00","1,474.95","1,463.25","1,463.25","1,475.50","1,725.00","1,342.00",12462604,"18,38,86,22,965.70",310264
27-Jan-2022,EQ,"1,450.00","1,485.00","1,435.00","1,488.05","1,482.00","1,474.95","1,454.91","1,725.00","1,342.00",14308919,"20,81,81,70,830.00",398704
25-Jan-2022,EQ,"1,458.65","1,495.00","1,444.00","1,486.65","1,490.25","1,488.05","1,467.17","1,725.00","1,342.00",6797124,"9,97,25,48,095.60",307977
24-Jan-2022,EQ,"1,509.95","1,521.25","1,467.55","1,521.60","1,484.60","1,486.65","1,493.60","1,725.00","1,342.00",5934254,"8,86,34,01,561.75",211145
21-Jan-2022,EQ,"1,500.00","1,529.80","1,485.60","1,509.00","1,527.70","1,521.60","1,509.69","1,725.00","1,342.00",5768847,"8,70,91,64,177.35",184858
20-Jan-2022,EQ,"1,528.45","1,528.50","1,500.10","1,518.45","1,512.00","1,509.00","1,512.74","1,725.00","1,342.00",7598923,"11,49,52,22,004.60",187879
19-Jan-2022,EQ,"1,534.00","1,539.75","1,513.35","1,529.25","1,519.10","1,518.45","1,525.22","1,725.00","1,342.00",7158813,"10,91,87,35,959.45",227709
18-Jan-2022,EQ,"1,533.00","1,550.90","1,523.00","1,521.50","1,528.10","1,529.25","1,536.97","1,725.00","1,342.00",6170576,"9,48,39,60,773.90",202364
17-Jan-2022,EQ,"1,530.00","1,556.00","1,519.15","1,545.15","1,523.50","1,521.50","1,530.58","1,725.00","1,342.00",11494686,"17,59,35,33,649.05",294100
14-Jan-2022,EQ,"1,530.00","1,548.70","1,519.00","1,528.00","1,543.80","1,545.15","1,535.22","1,725.00","1,342.00",5604484,"8,60,41,02,722.25",149071
13-Jan-2022,EQ,"1,555.00","1,555.00","1,520.40","1,556.65","1,529.00","1,528.00","1,532.69","1,725.00","1,342.00",20981948,"32,15,87,17,522.45",259715
12-Jan-2022,EQ,"1,568.00","1,576.65","1,552.00","1,565.90","1,556.15","1,556.65","1,564.75","1,725.00","1,342.00",10542765,"16,49,67,87,237.55",239760
11-Jan-2022,EQ,"1,561.55","1,568.70","1,547.80","1,559.15","1,566.00","1,565.90","1,558.68","1,725.00","1,342.00",4194599,"6,53,80,55,144.40",166520
10-Jan-2022,EQ,"1,558.00","1,572.00","1,545.50","1,550.55","1,561.00","1,559.15","1,556.89","1,725.00","1,342.00",4428248,"6,89,43,10,964.25",159643
07-Jan-2022,EQ,"1,544.00","1,566.75","1,535.90","1,539.75","1,552.75","1,550.55","1,552.05","1,725.00","1,342.00",5589692,"8,67,54,65,609.40",166966
06-Jan-2022,EQ,"1,543.00","1,554.75","1,530.05","1,564.85","1,540.00","1,539.75","1,540.71","1,725.00","1,342.00",4814465,"7,41,76,94,108.65",143958
