DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
18-Feb-2022,EQ,746.85,756.80,745.55,750.35,747.95,748.90,751.25,867.00,531.15,8945567,"6,72,03,17,163.35",160575
17-Feb-2022,EQ,766.50,767.25,746.30,764.05,747.60,750.35,755.04,867.00,531.15,16683808,"12,59,69,60,313.50",206647
16-Feb-2022,EQ,775.70,777.55,760.40,776.05,762.60,764.05,769.64,867.00,531.15,10549784,"8,11,95,82,235.00",184247
15-Feb-2022,EQ,752.95,778.00,743.20,753.70,775.00,776.05,759.35,867.00,531.15,18880659,"14,33,70,91,356.50",290494
14-Feb-2022,EQ,772.00,773.95,751.15,790.80,752.50,753.70,760.87,867.00,531.15,16170656,"12,30,37,70,681.05",364618
11-Feb-2022,EQ,796.85,797.40,787.90,805.50,789.50,790.80,792.81,867.00,531.15,13138408,"10,41,62,94,335.75",206865
10-Feb-2022,EQ,805.95,808.80,796.30,802.80,804.45,805.50,804.24,867.00,531.15,13159771,"10,58,36,71,275.75",248496
09-Feb-2022,EQ,797.25,804.25,794.20,792.50,803.00,802.80,799.57,867.00,531.15,8855292,"7,08,04,58,432.50",194125
08-Feb-2022,EQ,790.00,795.70,774.30,786.40,790.00,792.50,784.25,867.00,531.15,14642455,"11,48,33,35,931.30",296476
07-Feb-2022,EQ,798.05,805.00,781.45,805.05,785.20,786.40,790.77,867.00,531.15,14659368,"11,59,22,37,165.85",332005
04-Feb-2022,EQ,809.80,812.00,795.80,808.95,803.50,805.05,803.51,867.00,531.15,10314067,"8,28,74,50,807.00",233121
03-Feb-2022,EQ,814.05,818.40,806.00,813.75,807.00,808.95,811.39,867.00,531.15,9755335,"7,91,53,63,352.70",225774
02-Feb-2022,EQ,815.00,818.70,808.85,810.30,815.70,813.75,813.88,867.00,531.15,11214375,"9,12,71,53,471.45",262592
01-Feb-2022,EQ,802.05,812.85,789.30,788.80,811.30,810.30,807.03,867.00,531.15,20031583,"16,16,60,04,973.85",298272
31-Jan-2022,EQ,788.95,798.70,784.00,781.15,789.00,788.80,791.23,867.00,531.15,14824509,"11,72,95,32,549.20",307444
28-Jan-2022,EQ,803.75,805.85,778.50,794.65,782.00,781.15,792.77,867.00,512.00,14072314,"11,15,60,41,081.65",250672
27-Jan-2022,EQ,786.90,801.50,781.05,801.65,797.50,794.65,790.93,867.00,512.00,23984679,"18,97,01,71,408.70",345466
25-Jan-2022,EQ,789.00,804.30,786.05,798.45,800.50,801.65,798.31,867.00,512.00,19513184,"15,57,76,35,109.65",330519
24-Jan-2022,EQ,813.00,816.70,783.30,804.50,792.00,798.45,803.26,867.00,512.00,29612316,"23,78,63,40,972.40",424239
