DATE,SERIES,OPEN,HIGH,LOW,"PREV. CLOSE",LTP,CLOSE,VWAP,"52W H","52W L",VOLUME,VALUE,"NO. OF  TRADES"
18-Feb-2022,EQ,510.10,520.90,510.10,512.95,515.00,515.30,515.84,549.00,321.30,15111223,"7,79,49,91,046.45",167187
17-Feb-2022,EQ,520.00,520.00,511.15,516.70,511.60,512.95,515.23,549.00,321.30,16408356,"8,45,40,56,421.80",183638
16-Feb-2022,EQ,526.50,528.00,514.00,524.80,515.00,516.70,519.94,549.00,321.30,19773807,"10,28,12,77,420.45",223564
15-Feb-2022,EQ,502.00,526.85,497.10,501.40,524.00,524.80,510.42,549.00,321.30,23842951,"12,17,00,05,170.25",270915
14-Feb-2022,EQ,515.00,515.60,499.70,529.60,500.25,501.40,508.66,549.00,321.30,26153332,"13,30,32,47,218.75",364555
11-Feb-2022,EQ,536.25,537.70,527.10,540.55,528.25,529.60,532.27,549.00,321.30,14607095,"7,77,49,21,814.25",177760
10-Feb-2022,EQ,537.10,543.95,534.40,535.25,540.30,540.55,540.35,549.00,321.30,18659370,"10,08,25,67,002.45",228387
09-Feb-2022,EQ,534.95,536.50,527.75,531.35,536.30,535.25,532.72,549.00,321.30,14856155,"7,91,42,32,904.95",191210
08-Feb-2022,EQ,535.50,537.65,519.00,533.25,530.40,531.35,528.40,549.00,321.30,26567546,"14,03,83,48,935.45",305464
07-Feb-2022,EQ,531.90,549.00,525.25,530.30,533.90,533.25,538.29,549.00,321.30,52289545,"28,14,69,60,844.85",564783
04-Feb-2022,EQ,542.15,546.40,527.30,540.10,529.45,530.30,535.90,546.40,282.75,25332894,"13,57,59,88,476.00",325989
03-Feb-2022,EQ,537.15,544.70,537.15,539.80,540.00,540.10,540.99,544.70,282.75,22717677,"12,29,00,16,550.35",323435
02-Feb-2022,EQ,536.65,544.25,531.35,532.30,539.65,539.80,536.94,544.25,282.75,21661864,"11,63,11,91,094.50",222610
01-Feb-2022,EQ,543.95,543.95,520.00,538.30,532.60,532.30,533.59,543.95,282.75,32245356,"17,20,56,50,890.20",330437
31-Jan-2022,EQ,529.00,540.90,527.05,523.45,537.95,538.30,535.63,542.30,282.75,28674232,"15,35,88,65,480.55",315416
28-Jan-2022,EQ,534.00,536.40,521.40,528.95,523.30,523.45,529.78,542.30,269.50,24715250,"13,09,35,92,191.65",310048
27-Jan-2022,EQ,503.55,530.85,503.20,514.65,529.00,528.95,520.47,542.30,269.50,35409230,"18,42,95,06,726.90",391838
25-Jan-2022,EQ,490.00,517.50,489.00,494.15,513.35,514.65,507.46,542.30,269.50,21791739,"11,05,83,88,452.70",290929
24-Jan-2022,EQ,502.40,506.80,488.00,502.70,493.70,494.15,497.31,542.30,269.50,20233933,"10,06,25,60,914.35",255220
21-Jan-2022,EQ,505.30,507.50,498.00,511.40,504.05,502.70,503.16,542.30,269.50,16947941,"8,52,75,31,247.25",215520
20-Jan-2022,EQ,516.00,519.15,508.00,515.80,511.00,511.40,513.81,542.30,269.50,17724642,"9,10,70,52,842.40",193420
19-Jan-2022,EQ,505.00,517.65,500.30,506.80,515.05,515.80,508.61,542.30,269.50,16079457,"8,17,82,48,303.40",190208
18-Jan-2022,EQ,514.00,517.45,505.00,514.00,507.40,506.80,512.70,542.30,269.50,12592506,"6,45,61,95,519.55",144399
17-Jan-2022,EQ,508.00,518.90,507.55,508.35,514.20,514.00,515.37,542.30,269.50,17422211,"8,97,88,84,449.10",230852
14-Jan-2022,EQ,509.00,510.35,505.15,511.35,507.75,508.35,507.82,542.30,269.50,8724574,"4,43,05,18,916.80",151240
13-Jan-2022,EQ,510.00,512.85,507.00,510.25,511.50,511.35,510.36,542.30,269.50,10450974,"5,33,37,62,558.50",160127
12-Jan-2022,EQ,509.90,513.50,508.50,505.95,509.95,510.25,511.05,542.30,269.50,14489616,"7,40,49,03,048.50",178769
11-Jan-2022,EQ,503.00,507.80,499.25,503.65,505.75,505.95,504.20,542.30,269.50,16107950,"8,12,16,96,006.40",214059
10-Jan-2022,EQ,493.35,504.95,492.50,491.25,504.75,503.65,499.62,542.30,269.50,15832274,"7,91,01,80,279.85",178755
07-Jan-2022,EQ,493.45,501.95,489.45,491.70,491.25,491.25,495.38,542.30,269.50,22746330,"11,26,80,85,856.65",254165
06-Jan-2022,EQ,487.70,494.40,485.40,492.40,491.35,491.70,490.44,542.30,269.50,18190843,"8,92,15,14,100.80",195393
05-Jan-2022,EQ,481.90,495.00,479.15,483.50,491.70,492.40,489.50,542.30,269.50,24694169,"12,08,79,15,535.95",240463
04-Jan-2022,EQ,472.50,484.70,471.05,470.80,483.75,483.50,479.89,542.30,269.50,23296671,"11,17,98,52,628.40",246431
03-Jan-2022,EQ,462.00,472.00,460.10,460.45,471.50,470.80,467.17,542.30,269.50,13124509,"6,13,13,88,321.75",168001
31-Dec-2021,EQ,454.25,461.40,453.10,451.70,460.20,460.45,459.07,542.30,268.00,10005842,"4,59,33,71,921.95",128788
30-Dec-2021,EQ,452.75,454.90,448.50,454.40,453.05,451.70,451.71,542.30,268.00,28879190,"13,04,50,96,929.05",198099
29-Dec-2021,EQ,461.00,462.15,451.40,461.20,453.20,454.40,457.66,542.30,268.00,11757303,"5,38,08,69,113.55",148597
28-Dec-2021,EQ,461.20,462.90,459.05,458.05,460.55,461.20,461.10,542.30,268.00,8832210,"4,07,24,92,143.05",111561
27-Dec-2021,EQ,453.70,460.50,450.55,456.95,459.40,458.05,456.62,542.30,268.00,8856482,"4,04,40,23,092.90",133445
24-Dec-2021,EQ,462.60,463.60,452.20,461.80,457.25,456.95,456.35,542.30,248.25,13221159,"6,03,34,44,238.00",139530
23-Dec-2021,EQ,461.00,465.00,457.75,455.85,460.70,461.80,461.46,542.30,248.25,14471377,"6,67,80,04,894.25",196406
22-Dec-2021,EQ,450.00,457.30,449.00,446.00,456.15,455.85,453.67,542.30,248.25,13102553,"5,94,42,55,120.25",170711
21-Dec-2021,EQ,457.05,458.25,444.50,449.20,447.30,446.00,452.06,542.30,248.25,16617447,"7,51,20,89,959.00",276029
20-Dec-2021,EQ,459.00,464.00,443.00,467.80,450.90,449.20,449.66,542.30,248.25,22336114,"10,04,36,53,287.20",401072
17-Dec-2021,EQ,480.05,481.40,466.50,481.15,468.30,467.80,471.10,542.30,248.25,12648603,"5,95,87,94,559.65",182619
16-Dec-2021,EQ,488.35,490.55,478.25,484.80,482.00,481.15,482.82,542.30,248.25,11107781,"5,36,30,30,502.90",138481
15-Dec-2021,EQ,490.00,491.00,483.50,488.55,484.35,484.80,487.35,542.30,248.25,8639835,"4,21,06,28,131.15",127451
14-Dec-2021,EQ,486.00,490.35,481.80,487.80,488.25,488.55,486.65,542.30,248.25,11642447,"5,66,58,50,327.65",152297
13-Dec-2021,EQ,497.75,500.45,486.35,494.70,488.50,487.80,493.46,542.30,248.25,14047645,"6,93,19,47,610.00",207621
10-Dec-2021,EQ,488.50,495.95,484.40,488.65,494.80,494.70,489.64,542.30,248.25,13261408,"6,49,33,75,283.00",148459
09-Dec-2021,EQ,492.30,493.50,486.10,491.55,487.80,488.65,489.02,542.30,248.25,12560970,"6,14,25,60,356.10",159836
08-Dec-2021,EQ,480.90,492.40,480.25,476.70,490.60,491.55,487.45,542.30,248.25,20397660,"9,94,28,65,186.30",237922
07-Dec-2021,EQ,469.20,479.70,469.20,465.30,476.85,476.70,475.06,542.30,248.25,13644942,"6,48,21,89,411.35",179255
06-Dec-2021,EQ,473.15,477.00,463.80,473.15,464.95,465.30,470.81,542.30,248.25,14353300,"6,75,76,42,219.95",187905
03-Dec-2021,EQ,475.75,481.50,470.05,477.00,471.95,473.15,475.90,542.30,244.10,16653993,"7,92,56,28,412.65",198060
02-Dec-2021,EQ,474.50,478.15,470.95,475.30,477.60,477.00,474.72,542.30,244.10,12962679,"6,15,35,83,482.70",189218
01-Dec-2021,EQ,464.45,477.25,464.00,460.55,475.90,475.30,470.57,542.30,244.10,17156956,"8,07,34,74,431.45",192988
30-Nov-2021,EQ,468.00,477.25,458.00,465.10,459.10,460.55,467.26,542.30,244.10,23026652,"10,75,95,12,051.10",283930
